clid,CellLineName,Tissue,parental_identifier,subtype,ReferenceDivisionTime
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
NCIH1694_LUNG,NCIH1694_LUNG,Lung,unknown,unknown,
NCIH82_LUNG,NCIH82_LUNG,Lung,unknown,unknown,
HEYA8_OVARY,HEYA8_OVARY,Ovary/Fallopian Tube,unknown,unknown,
DU4475_BREAST,DU4475_BREAST,Breast,unknown,unknown,
SCLC21H_LUNG,SCLC21H_LUNG,Lung,unknown,unknown,
KE97_STOMACH,KE97_STOMACH,Lymphoid,unknown,unknown,
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
RKO_LARGE_INTESTINE,RKO_LARGE_INTESTINE,Bowel,unknown,unknown,
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
HUG1N_STOMACH,HUG1N_STOMACH,Esophagus/Stomach,unknown,unknown,
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
SNU1_STOMACH,SNU1_STOMACH,Esophagus/Stomach,unknown,unknown,
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
CAL62_THYROID,CAL62_THYROID,Thyroid,unknown,unknown,
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
CCLFPEDS0001T_KIDNEY,CCLFPEDS0001T_KIDNEY,unknown,unknown,unknown,
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
HLF_LIVER,HLF_LIVER,Liver,unknown,unknown,
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
CORL88_LUNG,CORL88_LUNG,Lung,unknown,unknown,
NCIH1092_LUNG,NCIH1092_LUNG,Lung,unknown,unknown,
NCIH1341_LUNG,NCIH1341_LUNG,Lung,unknown,unknown,
NCIH2171_LUNG,NCIH2171_LUNG,Lung,unknown,unknown,
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
SW948_LARGE_INTESTINE,SW948_LARGE_INTESTINE,Bowel,unknown,unknown,
T24_URINARY_TRACT,T24_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
CHLA15_AUTONOMIC_GANGLIA,CHLA15_AUTONOMIC_GANGLIA,Peripheral Nervous System,unknown,unknown,
MDST8_LARGE_INTESTINE,MDST8_LARGE_INTESTINE,Bowel,unknown,unknown,
NCIH508_LARGE_INTESTINE,NCIH508_LARGE_INTESTINE,Bowel,unknown,unknown,
SHP77_LUNG,SHP77_LUNG,Lung,unknown,unknown,
COGE352_BONE,COGE352_BONE,Bone,unknown,unknown,
SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
ES2_OVARY,ES2_OVARY,Ovary/Fallopian Tube,unknown,unknown,
TC205_BONE,TC205_BONE,Bone,unknown,unknown,
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
YD15_SALIVARY_GLAND,YD15_SALIVARY_GLAND,Head and Neck,unknown,unknown,
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
COLO320_LARGE_INTESTINE,COLO320_LARGE_INTESTINE,Bowel,unknown,unknown,
GSS_STOMACH,GSS_STOMACH,Esophagus/Stomach,unknown,unknown,
HCC2108_LUNG,HCC2108_LUNG,Lung,unknown,unknown,
BT12_SOFT_TISSUE,BT12_SOFT_TISSUE,CNS/Brain,unknown,unknown,
KYSE70_OESOPHAGUS,KYSE70_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
CAL148_BREAST,CAL148_BREAST,Breast,unknown,unknown,
KATOIII_STOMACH,KATOIII_STOMACH,Esophagus/Stomach,unknown,unknown,
KP4_PANCREAS,KP4_PANCREAS,Pancreas,unknown,unknown,
A2780_OVARY,A2780_OVARY,Ovary/Fallopian Tube,unknown,unknown,
EW8_BONE,EW8_BONE,Bone,unknown,unknown,
KD_SOFT_TISSUE,KD_SOFT_TISSUE,Soft Tissue,unknown,unknown,
TC32_BONE,TC32_BONE,Bone,unknown,unknown,
TTC549_SOFT_TISSUE,TTC549_SOFT_TISSUE,Soft Tissue,unknown,unknown,
TTC642_SOFT_TISSUE,TTC642_SOFT_TISSUE,Soft Tissue,unknown,unknown,
AGS_STOMACH,AGS_STOMACH,Esophagus/Stomach,unknown,unknown,
CBAGPN_BONE,CBAGPN_BONE,Bone,unknown,unknown,
TTC1240_SOFT_TISSUE,TTC1240_SOFT_TISSUE,Kidney,unknown,unknown,
PEDS015T_SOFT_TISSUE,PEDS015T_SOFT_TISSUE,unknown,unknown,unknown,
SKPNDW_BONE,SKPNDW_BONE,Bone,unknown,unknown,
STM9101_SOFT_TISSUE,STM9101_SOFT_TISSUE,Kidney,unknown,unknown,
JR_SOFT_TISSUE,JR_SOFT_TISSUE,Soft Tissue,unknown,unknown,
RH28_SOFT_TISSUE,RH28_SOFT_TISSUE,Soft Tissue,unknown,unknown,
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,Uterus,unknown,unknown,
RH4_SOFT_TISSUE,RH4_SOFT_TISSUE,Soft Tissue,unknown,unknown,
RHJT_SOFT_TISSUE,RHJT_SOFT_TISSUE,Soft Tissue,unknown,unknown,
KYM1_SOFT_TISSUE,KYM1_SOFT_TISSUE,Soft Tissue,unknown,unknown,
RH36_SOFT_TISSUE,RH36_SOFT_TISSUE,Soft Tissue,unknown,unknown,
SKNMC_BONE,SKNMC_BONE,Bone,unknown,unknown,
SMSCTR_SOFT_TISSUE,SMSCTR_SOFT_TISSUE,Soft Tissue,unknown,unknown,
143B_BONE,143B_BONE,Bone,unknown,unknown,
CHLA06ATRT_SOFT_TISSUE,CHLA06ATRT_SOFT_TISSUE,CNS/Brain,unknown,unknown,
SAOS2_BONE,SAOS2_BONE,Bone,unknown,unknown,
TE617T_SOFT_TISSUE,TE617T_SOFT_TISSUE,Soft Tissue,unknown,unknown,
HGC27_STOMACH,HGC27_STOMACH,Esophagus/Stomach,unknown,unknown,
TTC709_SOFT_TISSUE,TTC709_SOFT_TISSUE,Soft Tissue,unknown,unknown,
CW9019_SOFT_TISSUE,CW9019_SOFT_TISSUE,Soft Tissue,unknown,unknown,
TC106_BONE,TC106_BONE,Bone,unknown,unknown,
UW228_CENTRAL_NERVOUS_SYSTEM,UW228_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
647V_URINARY_TRACT,647V_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
A253_SALIVARY_GLAND,A253_SALIVARY_GLAND,Head and Neck,unknown,unknown,
BICR18_UPPER_AERODIGESTIVE_TRACT,BICR18_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
A498_KIDNEY,A498_KIDNEY,Kidney,unknown,unknown,
NCIH1339_LUNG,NCIH1339_LUNG,unknown,unknown,unknown,
CAL12T_LUNG,CAL12T_LUNG,Lung,unknown,unknown,
CAL33_UPPER_AERODIGESTIVE_TRACT,CAL33_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
HUH1_LIVER,HUH1_LIVER,Liver,unknown,unknown,
NCIH441_LUNG,NCIH441_LUNG,Lung,unknown,unknown,
SNU201_CENTRAL_NERVOUS_SYSTEM,SNU201_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
SW1783_CENTRAL_NERVOUS_SYSTEM,SW1783_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
A427_LUNG,A427_LUNG,Lung,unknown,unknown,
L33_PANCREAS,L33_PANCREAS,Pancreas,unknown,unknown,
SKMEL28_SKIN,SKMEL28_SKIN,Skin,unknown,unknown,
TE15_OESOPHAGUS,TE15_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
U343_CENTRAL_NERVOUS_SYSTEM,U343_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
A1207_CENTRAL_NERVOUS_SYSTEM,A1207_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
CH157MN_CENTRAL_NERVOUS_SYSTEM,CH157MN_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
KYSE450_OESOPHAGUS,KYSE450_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
LN382_CENTRAL_NERVOUS_SYSTEM,LN382_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
CHAGOK1_LUNG,CHAGOK1_LUNG,Lung,unknown,unknown,
SF295_CENTRAL_NERVOUS_SYSTEM,SF295_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
HA1E_KIDNEY,HA1E_KIDNEY,Kidney,unknown,unknown,
IGR39_SKIN,IGR39_SKIN,Skin,unknown,unknown,
LNZ308_CENTRAL_NERVOUS_SYSTEM,LNZ308_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
CL11_LARGE_INTESTINE,CL11_LARGE_INTESTINE,Bowel,unknown,unknown,
GSU_STOMACH,GSU_STOMACH,Esophagus/Stomach,unknown,unknown,
HEPG2_LIVER,HEPG2_LIVER,Liver,unknown,unknown,
PANC0504_PANCREAS,PANC0504_PANCREAS,Pancreas,unknown,unknown,
CAS1_CENTRAL_NERVOUS_SYSTEM,CAS1_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
UO31_KIDNEY,UO31_KIDNEY,Kidney,unknown,unknown,
CCK81_LARGE_INTESTINE,CCK81_LARGE_INTESTINE,Bowel,unknown,unknown,
EFE184_ENDOMETRIUM,EFE184_ENDOMETRIUM,Uterus,unknown,unknown,
EKVX_LUNG,EKVX_LUNG,Lung,unknown,unknown,
HUPT4_PANCREAS,HUPT4_PANCREAS,Pancreas,unknown,unknown,
COV318_OVARY,COV318_OVARY,Ovary/Fallopian Tube,unknown,unknown,
EFM19_BREAST,EFM19_BREAST,Breast,unknown,unknown,
RDES_BONE,RDES_BONE,Bone,unknown,unknown,
RPMI7951_SKIN,RPMI7951_SKIN,Skin,unknown,unknown,
COV644_OVARY,COV644_OVARY,Ovary/Fallopian Tube,unknown,unknown,
YD10B_UPPER_AERODIGESTIVE_TRACT,YD10B_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
KE39_STOMACH,KE39_STOMACH,Esophagus/Stomach,unknown,unknown,
NCIH647_LUNG,NCIH647_LUNG,Lung,unknown,unknown,
U87MG_CENTRAL_NERVOUS_SYSTEM,U87MG_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
C32_SKIN,C32_SKIN,Skin,unknown,unknown,
HT1197_URINARY_TRACT,HT1197_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
SNU899_UPPER_AERODIGESTIVE_TRACT,SNU899_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
SW1116_LARGE_INTESTINE,SW1116_LARGE_INTESTINE,Bowel,unknown,unknown,
TYKNU_OVARY,TYKNU_OVARY,Ovary/Fallopian Tube,unknown,unknown,
BICR22_UPPER_AERODIGESTIVE_TRACT,BICR22_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
DMS273_LUNG,DMS273_LUNG,Lung,unknown,unknown,
HCC1395_BREAST,HCC1395_BREAST,Breast,unknown,unknown,
HCC1954_BREAST,HCC1954_BREAST,Breast,unknown,unknown,
JL1_PLEURA,JL1_PLEURA,Pleura,unknown,unknown,
BHY_UPPER_AERODIGESTIVE_TRACT,BHY_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
MDAMB361_BREAST,MDAMB361_BREAST,Breast,unknown,unknown,
SW1463_LARGE_INTESTINE,SW1463_LARGE_INTESTINE,Bowel,unknown,unknown,
HCC515_LUNG,HCC515_LUNG,Lung,unknown,unknown,
G361_SKIN,G361_SKIN,Skin,unknown,unknown,
KS1_CENTRAL_NERVOUS_SYSTEM,KS1_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
RERFGC1B_STOMACH,RERFGC1B_STOMACH,Esophagus/Stomach,unknown,unknown,
AU565_BREAST,AU565_BREAST,Breast,unknown,unknown,
HPAFII_PANCREAS,HPAFII_PANCREAS,Pancreas,unknown,unknown,
KLE_ENDOMETRIUM,KLE_ENDOMETRIUM,Uterus,unknown,unknown,
NCIH196_LUNG,NCIH196_LUNG,Lung,unknown,unknown,
SCC9_UPPER_AERODIGESTIVE_TRACT,SCC9_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
LN464_CENTRAL_NERVOUS_SYSTEM,LN464_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
OAW42_OVARY,OAW42_OVARY,Ovary/Fallopian Tube,unknown,unknown,
MDAMB453_BREAST,MDAMB453_BREAST,Breast,unknown,unknown,
T84_LARGE_INTESTINE,T84_LARGE_INTESTINE,Bowel,unknown,unknown,
U178_CENTRAL_NERVOUS_SYSTEM,U178_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
SW13_ADRENAL_CORTEX,SW13_ADRENAL_CORTEX,Adrenal Gland,unknown,unknown,
VAESBJ_SOFT_TISSUE,VAESBJ_SOFT_TISSUE,Soft Tissue,unknown,unknown,
NP5_CENTRAL_NERVOUS_SYSTEM,NP5_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
1777NRPMET_TESTIS,1777NRPMET_TESTIS,Testis,unknown,unknown,
ONDA9_CENTRAL_NERVOUS_SYSTEM,ONDA9_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
NP2_CENTRAL_NERVOUS_SYSTEM,NP2_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
HMC18_BREAST,HMC18_BREAST,Breast,unknown,unknown,
GIMEN_AUTONOMIC_GANGLIA,GIMEN_AUTONOMIC_GANGLIA,Peripheral Nervous System,unknown,unknown,
PK8_PANCREAS,PK8_PANCREAS,Pancreas,unknown,unknown,
PA1_OVARY,PA1_OVARY,Ovary/Fallopian Tube,unknown,unknown,
SUM159PT_BREAST,SUM159PT_BREAST,Breast,unknown,unknown,
PACADD161_PANCREAS,PACADD161_PANCREAS,Pancreas,unknown,unknown,
UMUC6_URINARY_TRACT,UMUC6_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
H103_UPPER_AERODIGESTIVE_TRACT,H103_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
H157_UPPER_AERODIGESTIVE_TRACT,H157_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
SNU638_STOMACH,SNU638_STOMACH,Esophagus/Stomach,unknown,unknown,
JOPACA1_PANCREAS,JOPACA1_PANCREAS,Pancreas,unknown,unknown,
CAL54_KIDNEY,CAL54_KIDNEY,Kidney,unknown,unknown,
EGI1_BILIARY_TRACT,EGI1_BILIARY_TRACT,Biliary Tract,unknown,unknown,
CAL72_BONE,CAL72_BONE,Bone,unknown,unknown,
JAR_PLACENTA,JAR_PLACENTA,Uterus,unknown,unknown,
HEC116_ENDOMETRIUM,HEC116_ENDOMETRIUM,Uterus,unknown,unknown,
H376_UPPER_AERODIGESTIVE_TRACT,H376_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
H413_UPPER_AERODIGESTIVE_TRACT,H413_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
IHH4_THYROID,IHH4_THYROID,Thyroid,unknown,unknown,
UMUC10_URINARY_TRACT,UMUC10_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
SKLMS1_SOFT_TISSUE,SKLMS1_SOFT_TISSUE,Soft Tissue,unknown,unknown,
