clid,CellLineName,Tissue,parental_identifier,subtype,ReferenceDivisionTime
SJSA1_BONE,SJSA1_BONE,Bone,unknown,unknown,
A2058_SKIN,A2058_SKIN,Skin,unknown,unknown,
NCIH1437_LUNG,NCIH1437_LUNG,Lung,unknown,unknown,
ACCMESO1_PLEURA,ACCMESO1_PLEURA,Pleura,unknown,unknown,
VMCUB1_URINARY_TRACT,VMCUB1_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
YD38_UPPER_AERODIGESTIVE_TRACT,YD38_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
BFTC909_KIDNEY,BFTC909_KIDNEY,Kidney,unknown,unknown,
DAOY_CENTRAL_NERVOUS_SYSTEM,DAOY_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
EFO27_OVARY,EFO27_OVARY,Ovary/Fallopian Tube,unknown,unknown,
IGR1_SKIN,IGR1_SKIN,Skin,unknown,unknown,
LI7_LIVER,LI7_LIVER,Liver,unknown,unknown,
OVK18_OVARY,OVK18_OVARY,Ovary/Fallopian Tube,unknown,unknown,
SBC5_LUNG,SBC5_LUNG,Lung,unknown,unknown,
TOV112D_OVARY,TOV112D_OVARY,Ovary/Fallopian Tube,unknown,unknown,
KELLY_AUTONOMIC_GANGLIA,KELLY_AUTONOMIC_GANGLIA,Peripheral Nervous System,unknown,unknown,
PATU8902_PANCREAS,PATU8902_PANCREAS,Pancreas,unknown,unknown,
TT2609C02_THYROID,TT2609C02_THYROID,Thyroid,unknown,unknown,
QGP1_PANCREAS,QGP1_PANCREAS,Pancreas,unknown,unknown,
SW1710_URINARY_TRACT,SW1710_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
BECKER_CENTRAL_NERVOUS_SYSTEM,BECKER_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
NCIH520_LUNG,NCIH520_LUNG,Lung,unknown,unknown,
SNU685_ENDOMETRIUM,SNU685_ENDOMETRIUM,Uterus,unknown,unknown,
SW1353_BONE,SW1353_BONE,Bone,unknown,unknown,
NCIH322_LUNG,NCIH322_LUNG,Lung,unknown,unknown,
A101D_SKIN,A101D_SKIN,Skin,unknown,unknown,
BHT101_THYROID,BHT101_THYROID,Thyroid,unknown,unknown,
HEC1B_ENDOMETRIUM,HEC1B_ENDOMETRIUM,Uterus,unknown,unknown,
SNU886_LIVER,SNU886_LIVER,Liver,unknown,unknown,
SW1573_LUNG,SW1573_LUNG,Lung,unknown,unknown,
G402_SOFT_TISSUE,G402_SOFT_TISSUE,Kidney,unknown,unknown,
PECAPJ15_UPPER_AERODIGESTIVE_TRACT,PECAPJ15_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
RL952_ENDOMETRIUM,RL952_ENDOMETRIUM,Uterus,unknown,unknown,
CADOES1_BONE,CADOES1_BONE,Bone,unknown,unknown,
SNUC2A_LARGE_INTESTINE,SNUC2A_LARGE_INTESTINE,Bowel,unknown,unknown,
RMGI_OVARY,RMGI_OVARY,Ovary/Fallopian Tube,unknown,unknown,
VMRCRCW_KIDNEY,VMRCRCW_KIDNEY,Kidney,unknown,unknown,
CAKI1_KIDNEY,CAKI1_KIDNEY,Kidney,unknown,unknown,
BEN_LUNG,BEN_LUNG,Lung,unknown,unknown,
MKN1_STOMACH,MKN1_STOMACH,Esophagus/Stomach,unknown,unknown,
LCLC103H_LUNG,LCLC103H_LUNG,Lung,unknown,unknown,
NCIH1573_LUNG,NCIH1573_LUNG,Lung,unknown,unknown,
